code,source_name,source_url,realtime,status,source_ref
AE,GCCIA,https://www.gccia.com.sa/,true,operational,
AF,,,false,none,
AG,,,false,none,
AL,OST (Albanian TSO),https://www.ost.al/te-dhena,true,proposed,https://github.com/electricitymaps/electricitymaps-contrib/issues/4180
AM,Armenian Energy Power System Operator,http://epso.am/poweren.htm,true,operational,
AO,,,false,none,
AR,Cammesa,http://portalweb.cammesa.com/Memnet1/default.aspx,true,operational,
AS,,,false,none,
AT,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
AU,OpenNEM,https://opennem.org.au/energy/nem/,true,operational,
AW,WEB Aruba,https://www.webaruba.com/renewable-energy-dashboard/aruba,true,operational,
AZ,,,false,none,
BA,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
BB,Acelerex (energy.gov.bb),https://dataservices.acelerex.com/barbados/grid-operation/generation/current,true,proposed,https://github.com/electricitymaps/electricitymaps-contrib/issues/6459
BD,PGCB,https://erp.pgcb.gov.bd/web/generations/view_generations,true,operational,
BE,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
BF,,,false,none,
BG,TSO,http://tso.bg/default.aspx/page-707/bg,true,operational,
BH,GCCIA,https://www.gccia.com.sa/,true,operational,
BI,,,false,none,
BJ,,,false,none,
BM,,,false,none,
BN,,,false,none,
BO,CNDC,http://www.cndc.bo/media/archivos/graf/gene_hora/gweb_despdia_genera.php,true,operational,
BR,ONS,http://www.ons.org.br/paginas/energia-agora/carga-e-geracao,true,operational,
BS,,,false,none,
BT,,,false,none,
BW,,,false,none,
BY,ENTSOE,https://transparency.entsoe.eu/,true,operational,
BZ,,,false,none,
CA,IESO,https://reports-public.ieso.ca/public/GenOutputCapability/,true,operational,
CD,,,false,none,
CF,,,false,none,
CG,,,false,none,
CH,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
CI,,,false,none,
CK,,,false,none,
CL,Coordinador,https://sipub.coordinador.cl/api/v1/recursos/generacion_centrales_tecnologia_horario?,true,operational,
CM,,,false,none,
CN,,,false,none,
CO,XM,https://www.xm.com.co/consumo/demanda-en-tiempo-real,true,operational,
CR,ICE,https://apps.grupoice.com/CenceWeb/data/sen/json/EnergiaHorariaFuentePlanta?anno=2022&mes=12&dia=27,true,operational,
CU,,,false,none,
CV,,,false,none,
CY,TSO,https://tsoc.org.cy/electrical-system/total-daily-system-generation-on-the-transmission-system/,true,operational,
CZ,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
DE,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
DJ,,,false,none,
DK,TSO,https://www.energidataservice.dk/groups/production-and-consumption,true,operational,
DM,,,false,none,
DO,OC,http://www.oc.org.do/Reportes/postdespacho.aspx,true,operational,
DZ,,,false,none,
EC,CENACE,https://www.cenace.gob.ec/info-operativa/InformacionOperativa.htm,true,operational,
EE,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
EG,,,false,none,
EH,,,false,none,
ER,,,false,none,
ES,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
ET,,,false,none,
FI,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
FJ,,,false,none,
FK,,,false,none,
FO,Fjarhiti,https://www.fjarhiti.fo/kunning/biogassverki%C3%B0-roynist-vael-%C3%AD-fjarhitaskipanini/,true,operational,
FR,RTE,https://opendata.reseaux-energies.fr,true,operational,
GA,,,false,none,
GB,Elexon BMRS,https://bscdocs.elexon.co.uk/guidance-notes/bmrs-api-and-data-push-user-guide,true,operational,
GD,,,false,none,
GE,Georgian State Electrosystem (GSE),http://www.gse.com.ge/home,true,operational,
GF,EDF SEI,https://opendata-guyane.edf.fr,true,operational,
GH,,,false,none,
GI,,,false,none,
GL,,,false,none,
GM,,,false,none,
GN,,,false,none,
GP,EDF SEI,https://opendata-guadeloupe.edf.fr,true,operational,
GQ,,,false,none,
GR,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
GT,AMM,http://www.amm.org.gt,true,operational,
GU,,,false,none,
GW,,,false,none,
GY,,,false,none,
HK,,,false,none,
HN,ENTE,https://www.enteoperador.org/flujos-regionales-en-tiempo-real/,true,operational,
HR,HOPS,https://www.hops.hr/wps/portal/hr/web,true,operational,
HT,,,false,none,
HU,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
ID,,,false,none,
IE,Eirgrid,https://www.smartgriddashboard.com/,true,operational,
IL,IEC,https://www.iec.co.il/en/pages/default.aspx,true,operational,
IN,meritindia,http://meritindia.in/,true,operational,
IQ,Iraqi Power System,https://www.gdoco.org/generation.html,true,operational,
IR,,,false,none,
IS,LANDSNET,https://amper.landsnet.is/generation/api/Values,true,operational,
IT,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
JM,,,false,none,
JO,,,false,none,
JP,OCCTO,http://occtonet.occto.or.jp/public/dfw/RP11/OCCTO/SD/LOGIN_login,true,operational,
KE,,,false,none,
KG,,,false,none,
KH,,,false,none,
KI,,,false,none,
KM,,,false,none,
KN,,,false,none,
KP,,,false,none,
KR,KHNP,http://cms.khnp.co.kr/eng/kori/realTimeMgr/list.do?mnCd=EN03020201&brnchCd=BR0302,true,operational,
KW,Ministry of Electricity & Water,https://www.mew.gov.kw/en/,true,operational,
KY,,,false,none,
KZ,,,false,none,
LA,,,false,none,
LB,,,false,none,
LC,,,false,none,
LK,Ceylon Electricity Board,https://cebcare.ceb.lk/gensum/details,true,operational,
LR,,,false,none,
LS,,,false,none,
LT,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
LU,ENTSOE,https://transparency.entsoe.eu/,true,operational,
LV,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
LY,,,false,none,
MA,,,false,none,
MD,MoldElectrica,http://www.moldelectrica.md/ro/activity/system_state,true,operational,
ME,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
MG,,,false,none,
MK,ENTSOE,https://transparency.entsoe.eu/,true,operational,
ML,,,false,none,
MM,,,false,none,
MN,NDC (National Dispatching Center),https://ndc.energy.mn/,true,operational,
MO,,,false,none,
MQ,EDF SEI,https://opendata-martinique.edf.fr,true,operational,
MR,,,false,none,
MS,,,false,none,
MT,,,false,none,
MU,,,false,none,
MV,,,false,none,
MW,,,false,none,
MX,CENACE,https://www.cenace.gob.mx/GraficaDemanda.aspx,true,proposed,https://github.com/electricitymaps/electricitymaps-contrib/issues/6566
MY,GSO,https://www.gso.org.my/LandingPage.aspx,true,operational,
MZ,,,false,none,
NA,NamPower,http://www.nampower.com.na/Scada.aspx,true,operational,
NC,,,false,none,
NE,,,false,none,
NG,TCN ISO grid data portal,https://www.niggrid.com/GenerationProfile,true,operational,
NI,CNDC,http://www.cndc.org.ni/,true,operational,
NL,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
NO,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
NP,,,false,none,
NR,,,false,none,
NZ,Transpower,https://www.transpower.co.nz/power-system-live-data,true,operational,
OM,GCCIA,https://www.gccia.com.sa/,true,operational,
PA,CND,http://sitr.cnd.com.pa/m/pub/gen.html,true,operational,
PE,COES,http://www.coes.org.pe/Portal/portalinformacion/Generacion,true,operational,
PF,EDT,https://www.edt.pf/transition-energetique-innovation,true,operational,
PG,,,false,none,
PH,IEMOP,https://www.iemop.ph/,true,operational,
PK,,,false,none,
PL,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
PM,,,false,none,
PR,,,false,none,
PS,,,false,none,
PT,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
PY,,,false,none,
QA,GCCIA,https://www.gccia.com.sa/,true,operational,
RE,EDF SEI,https://opendata-reunion.edf.fr,true,operational,
RO,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
RS,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
RU,SO-UPS,http://br.so-ups.ru/Public/MainPageData/BR/PowerGeneration.aspx,true,operational,
RW,,,false,none,
SA,GCCIA,https://www.gccia.com.sa/,true,operational,
SB,,,false,none,
SC,,,false,none,
SD,,,false,none,
SE,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
SG,EMC,https://www.emcsg.com,true,operational,
SH,,,false,none,
SI,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
SK,ENTSOE,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,operational,
SL,,,false,none,
SN,,,false,none,
SO,,,false,none,
SR,,,false,none,
SS,,,false,none,
ST,,,false,none,
SV,Unidad de Transacciones,http://estadistico.ut.com.sv/OperacionDiaria.aspx,true,operational,
SY,,,false,none,
SZ,,,false,none,
TC,,,false,none,
TD,,,false,none,
TG,,,false,none,
TH,EGAT,https://www.sothailand.com/sysgen/egat/,true,operational,
TJ,,,false,none,
TL,,,false,none,
TM,,,false,none,
TN,,,false,none,
TO,,,false,none,
TR,ytbs,https://ytbsbilgi.teias.gov.tr/ytbsbilgi/frm_istatistikler.jsf,true,operational,
TT,,,false,none,
TW,TAIPOWER,http://www.taipower.com.tw/d006/loadGraph/loadGraph/genshx_.html,true,operational,
TZ,,,false,none,
UA,UKRENERGO,https://ua.energy/activity/dispatch-information/ues-operation/,true,operational,
UG,,,false,none,
US,EIA,https://www.eia.gov/electricity/data.cfm#gencapacity,true,operational,
UY,UTE,https://apps.ute.com.uy/SgePublico/ConsPotenciaGeneracionArbolXFuente.aspx,true,operational,
UZ,,,false,none,
VC,,,false,none,
VE,,,false,none,
VG,,,false,none,
VI,,,false,none,
VN,EVN,https://www.nldc.evn.vn/,true,operational,
VU,,,false,none,
WS,,,false,none,
YE,,,false,none,
ZA,Eskom,https://www.eskom.co.za/dataportal/supply-side/station-build-up-for-the-last-7-days/,true,operational,
ZM,,,false,none,
ZW,,,false,none,
